2024-03-15 16:27:31,722 INFO OrderedDict([('id', '025174df-b5dc-4ed0-a8ae-7852ae8038b6'), ('created_at', '2024-03-13T04:50:03.706564Z'), ('updated_at', '2024-03-13T04:50:03.706564Z'), ('level', '1')])
2024-03-15 16:27:31,722 INFO OrderedDict([('id', '48d06701-e7e1-41d0-bed1-631763c19b17'), ('created_at', '2024-03-13T04:51:22.628231Z'), ('updated_at', '2024-03-13T04:51:22.628231Z'), ('level', '2')])
2024-03-15 16:27:31,722 INFO OrderedDict([('id', '2b03139c-e8cf-4c96-b076-82d3eec72b6f'), ('created_at', '2024-03-13T04:51:27.819439Z'), ('updated_at', '2024-03-13T04:51:27.819439Z'), ('level', '3')])
2024-03-15 16:27:31,723 INFO OrderedDict([('id', '025174df-b5dc-4ed0-a8ae-7852ae8038b6'), ('created_at', '2024-03-13T04:50:03.706564Z'), ('updated_at', '2024-03-13T04:50:03.706564Z'), ('level', '1')])
2024-03-15 16:27:31,723 INFO OrderedDict([('id', '48d06701-e7e1-41d0-bed1-631763c19b17'), ('created_at', '2024-03-13T04:51:22.628231Z'), ('updated_at', '2024-03-13T04:51:22.628231Z'), ('level', '2')])
2024-03-15 16:27:31,723 INFO OrderedDict([('id', '2b03139c-e8cf-4c96-b076-82d3eec72b6f'), ('created_at', '2024-03-13T04:51:27.819439Z'), ('updated_at', '2024-03-13T04:51:27.819439Z'), ('level', '3')])
2024-03-15 16:27:31,723 INFO OrderedDict([('id', '025174df-b5dc-4ed0-a8ae-7852ae8038b6'), ('created_at', '2024-03-13T04:50:03.706564Z'), ('updated_at', '2024-03-13T04:50:03.706564Z'), ('level', '1')])
2024-03-15 16:27:31,724 INFO OrderedDict([('id', '48d06701-e7e1-41d0-bed1-631763c19b17'), ('created_at', '2024-03-13T04:51:22.628231Z'), ('updated_at', '2024-03-13T04:51:22.628231Z'), ('level', '2')])
2024-03-15 16:27:31,724 INFO OrderedDict([('id', '2b03139c-e8cf-4c96-b076-82d3eec72b6f'), ('created_at', '2024-03-13T04:51:27.819439Z'), ('updated_at', '2024-03-13T04:51:27.819439Z'), ('level', '3')])
2024-03-15 16:27:31,724 INFO OrderedDict([('id', '025174df-b5dc-4ed0-a8ae-7852ae8038b6'), ('created_at', '2024-03-13T04:50:03.706564Z'), ('updated_at', '2024-03-13T04:50:03.706564Z'), ('level', '1')])
2024-03-15 16:27:31,724 INFO OrderedDict([('id', '48d06701-e7e1-41d0-bed1-631763c19b17'), ('created_at', '2024-03-13T04:51:22.628231Z'), ('updated_at', '2024-03-13T04:51:22.628231Z'), ('level', '2')])
